Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60
2023-02-17 00:00:00,210,291.0,116,297.0,111,116,1270.0,2799,384.0,171.0,248,639.0,648,1061.0,4395,617,781.0,372,345.0,293,68.0,81,431,67,48,73.0,40,31,89.0,96,483,930.0,43,30,25
2023-02-18 00:00:00,207,219.0,81,202.0,101,130,967.0,2862,320.0,137.0,184,489.0,552,977.0,3402,661,781.0,348,260.0,383,39.0,57,456,90,71,71.0,19,19,76.0,117,408,766.0,43,29,24
2023-02-19 00:00:00,217,202.0,77,240.0,89,135,840.0,3111,341.0,149.0,230,472.0,541,917.0,2824,641,737.0,390,195.0,292,22.0,50,540,62,47,64.0,28,32,113.0,72,346,654.0,33,20,35
2023-02-20 00:00:00,198,224.0,57,256.0,83,135,994.0,2248,343.0,129.0,213,509.0,604,968.0,4048,577,679.0,360,250.0,206,23.0,39,747,34,22,67.0,20,35,120.0,75,474,874.0,56,34,25
2023-02-21 00:00:00,159,222.0,71,262.0,85,163,1105.0,1737,317.0,169.0,199,495.0,563,889.0,4080,619,750.0,406,293.0,283,35.0,58,749,57,44,81.0,31,33,107.0,70,463,858.0,49,37,26
2023-02-22 00:00:00,191,246.0,72,301.0,102,138,1093.0,2882,382.0,186.0,254,568.0,604,926.0,4143,584,706.0,340,317.0,298,45.0,73,452,60,50,74.0,19,42,133.0,66,455,798.0,40,31,9
2023-02-23 00:00:00,221,274.0,82,347.0,115,186,1074.0,2924,393.0,172.0,261,601.0,657,1038.0,4205,612,750.0,406,323.0,322,32.0,67,337,53,40,89.0,36,16,86.0,63,470,867.0,38,20,14
2023-02-24 00:00:00,253,284.0,72,319.0,114,149,1289.0,3141,443.0,174.0,302,708.0,766,1213.0,4374,673,807.0,406,372.0,309,43.0,74,317,71,57,118.0,33,0,117.0,89,430,658.0,29,26,22
2023-02-25 00:00:00,220,246.0,71,222.0,124,127,1234.0,2887,386.0,143.0,230,508.0,613,1009.0,3507,817,987.0,495,309.0,338,33.0,52,385,68,53,94.0,35,43,150.0,110,385,624.0,40,20,29
2023-02-26 00:00:00,230,244.0,74,296.0,138,133,996.0,2805,376.0,134.0,249,531.0,585,974.0,3004,770,951.0,464,265.0,289,37.0,62,333,82,67,42.0,20,43,111.0,77,313,575.0,29,18,32
2023-02-27 00:00:00,214,264.0,89,382.0,135,161,1065.0,2101,407.0,168.0,246,545.0,591,958.0,4245,656,745.0,361,273.0,241,48.0,66,403,63,44,116.0,32,26,125.0,95,484,800.0,34,21,21
