Date,3-026
2016-05-05,441.0
2016-05-06,452.0
2016-05-07,379.0
2016-05-08,347.0
2016-05-09,416.0
2016-05-10,383.0
2016-05-11,401.0
2016-05-12,397.0
2016-05-13,437.0
2016-05-14,411.0
2016-05-15,395.0
2016-05-16,401.0
2016-05-17,360.0
2016-05-18,376.0
2016-05-19,419.0
2016-05-20,507.0
2016-05-21,618.0
2016-05-22,467.0
2016-05-23,537.0
2016-05-24,382.0
2016-05-25,408.0
2016-05-26,351.0
2016-05-27,482.0
2016-05-28,413.0
2016-05-29,433.0
2016-05-30,437.0
2016-05-31,420.0
2016-06-01,406.0
2016-06-02,477.0
2016-06-03,565.0
2016-06-04,499.0
2016-06-05,481.0
2016-06-06,502.0
2016-06-07,393.0
2016-06-08,412.0
2016-06-09,463.0
2016-06-10,467.0
2016-06-11,466.0
2016-06-12,498.0
2016-06-13,444.0
2016-06-14,360.0
2016-06-15,399.0
2016-06-16,398.0
2016-06-17,510.0
2016-06-18,507.0
2016-06-19,420.0
2016-06-20,431.0
2016-06-21,507.0
2016-06-22,478.0
2016-06-23,422.0
2016-06-24,484.0
2016-06-25,459.0
2016-06-26,519.0
2016-06-27,500.0
2016-06-28,430.0
2016-06-29,455.0
2016-06-30,569.0
2016-07-01,433.0
2016-07-02,455.0
2016-07-03,472.0
2016-07-04,527.0
2016-07-05,473.0
2016-07-06,470.0
2016-07-07,459.0
2016-07-08,496.0
2016-07-09,449.0
2016-07-10,419.0
2016-07-11,437.0
2016-07-12,409.0
2016-07-13,398.0
2016-07-14,489.0
2016-07-15,543.0
2016-07-16,598.0
2016-07-17,492.0
2016-07-18,472.0
2016-07-19,457.0
2016-07-20,436.0
2016-07-21,455.0
2016-07-22,497.0
2016-07-23,502.0
2016-07-24,432.0
2016-07-25,503.0
2016-07-26,404.0
2016-07-27,412.0
2016-07-28,452.0
2016-07-29,551.0
2016-07-30,608.0
2016-07-31,472.0
2016-08-01,453.0
2016-08-02,489.0
2016-08-03,449.0
2016-08-04,436.0
2016-08-05,489.0
2016-08-06,434.0
2016-08-07,480.0
2016-08-08,455.0
2016-08-09,399.0
2016-08-10,452.0
2016-08-11,428.0
2016-08-12,463.0
2016-08-13,504.0
