Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60,gnt-2
2022-01-22 00:00:00,133.0,129.0,88.0,187.0,65.0,154.0,861.0,2691.0,199.0,109.0,118.0,460.0,493.0,755.0,4535.0,437.0,490.0,69.0,203.0,103.0,24.0,31.0,309.0,49.0,38.0,61.0,19.0,29,162.0,89.0,274.0,509.0,20.0,14.0,18.0,110
2022-01-23 00:00:00,142.0,146.0,66.0,186.0,52.0,142.0,661.0,1849.0,207.0,122.0,118.0,484.0,515.0,665.0,3267.0,427.0,578.0,87.0,183.0,88.0,29.0,36.0,501.0,27.0,16.0,60.0,10.0,41,170.0,69.0,223.0,381.0,33.0,20.0,10.0,129
2022-01-24 00:00:00,120.0,148.0,85.0,255.0,25.0,211.0,980.0,1518.0,218.0,128.0,129.0,487.0,647.0,779.0,4019.0,326.0,409.0,23.0,243.0,47.0,26.0,25.0,251.0,50.0,38.0,76.0,8.0,30,158.0,70.0,324.0,603.0,29.0,16.0,24.0,298
2022-01-25 00:00:00,154.0,175.0,108.0,228.0,47.0,218.0,1126.0,2499.0,229.0,167.0,130.0,464.0,680.0,798.0,4271.0,457.0,521.0,45.0,324.0,87.0,34.0,41.0,268.0,51.0,36.0,109.0,27.0,4,146.0,71.0,314.0,550.0,32.0,18.0,7.0,210
2022-01-26 00:00:00,207.0,266.0,84.0,267.0,66.0,204.0,1136.0,2524.0,275.0,149.0,177.0,550.0,673.0,774.0,4129.0,445.0,496.0,48.0,262.0,86.0,27.0,38.0,353.0,46.0,47.0,106.0,17.0,35,132.0,75.0,318.0,573.0,25.0,13.0,8.0,199
2022-01-27 00:00:00,202.0,215.0,89.0,237.0,67.0,251.0,1155.0,2724.0,345.0,168.0,188.0,540.0,677.0,920.0,4065.0,404.0,503.0,42.0,302.0,93.0,55.0,58.0,376.0,56.0,51.0,80.0,26.0,18,106.0,79.0,298.0,551.0,35.0,27.0,31.0,232
2022-01-28 00:00:00,161.0,166.0,103.0,226.0,79.0,246.0,1278.0,2667.0,329.0,218.0,187.0,517.0,673.0,884.0,4569.0,446.0,520.0,50.0,314.0,120.0,49.0,58.0,374.0,77.0,63.0,117.0,23.0,11,148.0,92.0,342.0,629.0,31.0,23.0,35.0,276
2022-01-29 00:00:00,198.0,202.0,81.0,176.0,67.0,184.0,929.0,2736.0,323.0,306.0,199.0,538.0,723.0,917.0,3728.0,598.0,698.0,127.0,220.0,129.0,30.0,43.0,419.0,56.0,39.0,75.0,12.0,74,128.0,92.0,283.0,487.0,39.0,22.0,15.0,137
2022-01-30 00:00:00,165.0,157.0,75.0,167.0,50.0,179.0,683.0,1976.0,280.0,282.0,187.0,459.0,621.0,654.0,2800.0,475.0,582.0,121.0,186.0,93.0,37.0,40.0,375.0,32.0,30.0,78.0,9.0,34,132.0,62.0,203.0,383.0,14.0,7.0,7.0,120
2022-01-31 00:00:00,168.0,184.0,110.0,246.0,45.0,274.0,1101.0,1640.0,298.0,215.0,201.0,495.0,680.0,832.0,3889.0,437.0,528.0,139.0,313.0,66.0,41.0,49.0,316.0,57.0,46.0,80.0,19.0,18,120.0,67.0,353.0,628.0,19.0,14.0,8.0,258
